"","creative_properties","n"
"56","web_view_url:https://iwillvote.com/Locate?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-VBMC-1P-Ad1011",4
"57","web_view_url:https://iwillvote.com/Locate?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-VBMC-1P-Ad1012",4
"58","web_view_url:https://iwillvote.com/Locate?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-VBMC-1P-Ad1014",4
"59","web_view_url:https://iwillvote.com/Locate?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-VBMC-1P-Ad1086",4
"60","web_view_url:https://iwillvote.com/Locate?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-VBMC-1P-Ad1009",4
"61","web_view_url:https://iwillvote.com/Locate?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-VBMC-1P-Ad1011",4
"62","web_view_url:https://iwillvote.com/Locate?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-VBMC-1P-Ad1012",4
"63","web_view_url:https://iwillvote.com/Locate?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-VBMC-1P-Ad1014",4
"64","web_view_url:https://iwillvote.com/Locate?state=PA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-PA-X-VBMC-1P-Ad1026",4
"65","web_view_url:https://iwillvote.com/Locate?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-VBMC-1P-Ad1004",2
"66","web_view_url:https://iwillvote.com/Locate?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-VBMC-1P-Ad1009",2
"67","web_view_url:https://iwillvote.com/Locate?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-VBMC-1P-Ad1011",2
"68","web_view_url:https://iwillvote.com/Locate?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-VBMC-1P-Ad1012",2
"69","web_view_url:https://iwillvote.com/Locate?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-VBMC-1P-Ad1014",2
"70","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Devastating.17s&utm_campaign=September#Stand-With-Our-Allies-Stand-Up-to-Dictators-and-Lead-on-the-World-Stage",1
"71","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-NoPlan.4s&utm_campaign=Debate1/#Strengthen-and-Bring-Down-the-Cost-of-Health-Care",15
"72","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-RvWDebate.22s&utm_campaign=Debate1/#Restore-and-Protect-Reproductive-Freedoms",15
"73","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-SCOTUSDebate.23s&utm_campaign=Debate1/#Restore-and-Protect-Reproductive-Freedoms",15
"74","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-TrumpSCOTUS.17s&utm_campaign=Debate1",15
"75","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-WEWDebate.35s&utm_campaign=Debate1/#Restore-and-Protect-Reproductive-Freedoms",15
"76","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=IWillNotBeSilent.15s&utm_campaign=September#Stand-With-Our-Allies-Stand-Up-to-Dictators-and-Lead-on-the-World-Stage",1
"77","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=MyVoice.30s&utm_campaign=September",2
"78","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=A-H",7
"79","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=A-M",7
"80","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=B-C",12
"81","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=B-P",24
"82","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-C",232
"83","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-I#Restore-and-Protect-Reproductive-Freedoms",26
"84","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-R#Restore-and-Protect-Reproductive-Freedoms",195
"85","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-RMD#Restore-and-Protect-Reproductive-Freedoms",55
"86","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-RMD#Support-American-Innovation-and-Workers",14
"87","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-RMD#trump-issues-freedoms",14
"88","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-RMDBT#Secure-Our-Borders-and-Fix-Our-Broken-Immigration-System",14
"89","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-RMDBT#Strengthen-and-Bring-Down-the-Cost-of-Health-Care",14
"90","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-RV#Restore-and-Protect-Reproductive-Freedoms",18
"91","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=L-E",70
"92","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=L-E#Make-Rent-More-Affordable-and-Home-Ownership-More-Attainable",11
"93","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=L-M#Secure-Our-Borders-and-Fix-Our-Broken-Immigration-System",11
"94","web_view_url:https://kamalaharris.com/issues/?utm_medium=ads&utm_source=Snapchat&utm_content=TaxCuts.30s&utm_campaign=September",11
"95","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=ALotofGoodStuff.21s&utm_campaign=September",14
"96","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=BlackJobs.26s&utm_campaign=August",24
"97","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=DontPlay.83s&utm_campaign=September",10
"98","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=EconFuture.20s&utm_campaign=September",15
"99","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=EconomicPlanList.16s&utm_campaign=September",14
"100","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Eliminar.42s&utm_campaign=September",11
"101","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-AsPresident.6s&utm_campaign=September",15
"102","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-CameInHandy.34s&utm_campaign=Debate1",15
"103","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-DHAPDebate.32s&utm_campaign=Debate1",14
"104","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Felon.14s&utm_campaign=September",14
"105","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Hate-20240822-1&utm_campaign=August",14
"106","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Hate-20240822-2&utm_campaign=August",14
"107","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-MadeTheFriesA.17s&utm_campaign=September",15
"108","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-MadeTheFriesC.20s&utm_campaign=September",14
"109","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-MiddleClass.15s&utm_campaign=September",15
"110","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-MiddleClassA.6s&utm_campaign=September",15
"111","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-NJBDebate.22s&utm_campaign=Debate1",15
"112","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-OTC.30s&utm_campaign=August",17
"113","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-PresidentForAll.35s&utm_campaign=Debate1",15
